0,127020,000060,4.440,1.000,380000.0000,3.11,5.77,20210125,110.0000,20260720,127020,302258.3100,20200814,20.46,AA+,AA+
0,123061,300424,14.830,1.800,25000.0000,10.38,19.28,20210128,118.0000,20260722,123061,24958.1100,20200818,0.17,A,A
0,128122,002436,13.430,1.500,26890.0000,8.06,17.46,20210129,110.0000,20250723,128122,26788.0400,20200817,0.38,AA,AA
0,128123,002749,12.980,1.500,32000.0000,9.09,16.87,20210201,110.0000,20260727,128123,31991.4800,20200819,0.03,AA-,AA-
0,123063,300021,4.630,1.800,63800.0000,3.24,6.02,20210203,120.0000,20260728,123063,63454.9400,20200820,0.54,AA-,AA-
0,128124,002022,20.640,1.200,73800.0000,14.45,26.83,20210203,106.0000,20260728,128124,73748.2600,20200820,0.07,A+,A+
0,128125,002949,24.790,1.500,45000.0000,17.35,32.23,20210205,113.0000,20260730,128125,44973.0200,20200821,0.06,AA-,AA-
0,127018,000761,3.950,2.900,680000.0000,2.77,5.14,20210104,119.0000,20260629,127018,563102.4100,20200804,17.19,AAA,AA+
0,123029,300677,3.870,3.500,47000.0000,2.71,5.03,20200224,128.0000,20250816,123029,129.7600,20190910,99.72,AA,AA
0,128071,002228,3.920,1.800,59575.0000,2.74,5.10,20200224,110.0000,20250816,128071,29992.1300,20190916,49.66,AA,AA
0,128128,002408,5.530,1.500,299000.0000,3.87,7.19,20210226,110.0000,20260820,128128,67946.8600,20200915,77.28,AA,AA
0,128127,002775,4.560,1.500,95000.0000,3.19,5.93,20210301,115.0000,20260820,128127,94924.2700,20200911,0.08,A-,A-
0,123031,300655,3.650,1.800,18500.0000,2.56,4.75,20200305,111.0000,20250829,123031,5275.2700,20190926,71.49,A+,A+
0,128130,002067,3.400,1.500,128000.0000,2.72,4.42,20210304,110.0000,20260831,128130,99856.7000,20200918,21.99,AA,AA
0,123064,300482,51.230,1.500,60000.0000,35.86,66.60,20210308,110.0000,20260901,123064,59791.7300,20200923,0.35,AA,AA
0,123065,300246,24.020,1.800,21900.0000,16.81,24.02,20210311,115.0000,20260904,123065,21878.6700,20200924,0.10,AA-,AA-
0,128131,002815,16.910,1.500,140000.0000,11.84,21.98,20210311,110.0000,20260907,128131,139977.5000,20200928,0.02,AA,AA
0,123067,300382,9.660,1.500,38800.0000,6.76,12.56,20210323,115.0000,20260917,123067,23936.6600,20201015,38.31,AA-,AA-
0,128134,002541,32.960,1.500,188000.0000,23.07,42.85,20210415,110.0000,20261009,128134,157281.3500,20201102,16.34,AA,AA
0,127022,000703,11.000,1.200,200000.0000,7.70,14.30,20210422,105.0000,20261016,127022,199981.5200,20201116,0.01,AA+,AA+
0,128135,002557,58.180,1.500,134000.0000,40.73,75.63,20210426,115.0000,20261020,128135,133985.5400,20201118,0.01,AA,AA
0,123072,300729,35.470,3.000,14200.0000,24.83,46.11,20210427,120.0000,20261021,123072,14184.1800,20201110,0.11,A+,A+
0,123071,300569,7.540,1.600,70000.0000,5.28,9.80,20210427,115.0000,20261021,123071,69404.9100,20201125,0.85,AA-,AA-
0,128133,002287,22.870,1.500,80000.0000,16.01,29.73,20210329,112.0000,20260922,128133,79935.3600,20201027,0.08,AA,AA
0,123013,300539,8.880,2.500,14000.0000,6.22,11.54,20190201,110.0000,20240726,123013,3786.9300,20180820,72.95,A+,A+
0,128136,002475,57.190,1.500,300000.0000,40.03,74.35,20210510,108.0000,20261103,128136,299908.3500,20201202,0.03,AA+,AAA
0,128137,002859,26.950,1.500,60000.0000,18.87,35.04,20210510,112.0000,20261104,128137,59922.6100,20201201,0.13,AA-,AA-
0,127024,000967,7.980,1.500,147619.0000,5.59,10.37,20210510,110.0000,20261104,127024,147605.0700,20201202,0.01,AA+,AA+
0,127025,000401,13.110,1.200,282000.0000,9.18,17.04,20210511,106.0000,20261105,127025,177643.6900,20201202,37.01,AAA,AAA
0,128138,002973,25.130,2.000,42000.0000,17.59,32.67,20210524,130.0000,20261117,128138,41987.4100,20201224,0.03,AA-,AA-
0,123076,300429,18.900,1.500,85000.0000,13.23,24.57,20210525,113.0000,20261119,123076,84983.2900,20201204,0.02,AA-,AA-
0,123078,300398,15.410,1.500,82500.0000,10.79,18.49,20210603,110.0000,20261127,123078,61822.1000,20201216,24.50,AA,AA
0,123080,300517,11.500,1.800,24500.0000,8.05,14.95,20210608,120.0000,20261202,123080,14892.2000,20201222,39.22,A+,A+
0,123082,300016,8.680,1.800,50000.0000,6.08,11.28,20210611,115.0000,20261207,123082,49928.6500,20201228,0.14,A+,A+
0,127026,000823,12.520,1.500,70000.0000,8.76,16.28,20210615,108.0000,20261208,127026,69970.1600,20210114,0.04,AA,AA
0,127027,000552,3.100,1.500,280000.0000,2.17,4.03,20210616,110.0000,20261210,127027,194641.9700,20210122,30.49,AA+,AA+
0,123085,300057,6.670,1.500,90000.0000,4.67,8.67,20210617,108.0000,20261211,123085,57033.0900,20201228,36.63,AA-,AA-
0,123087,300739,15.570,1.500,67300.0000,9.34,20.24,20210621,115.0000,20261215,123087,41891.9200,20210105,37.75,AA-,AA-
0,123088,300707,20.300,1.800,30138.0000,14.21,26.39,20210621,115.0000,20261215,123088,30084.7400,20210106,0.18,A+,A+
0,128141,002034,14.970,1.500,140000.0000,10.48,19.46,20210623,110.0000,20261217,128141,127014.3500,20210118,9.28,AA,AA
0,128142,002946,18.330,1.500,71800.0000,12.83,23.83,20210624,110.0000,20261218,128142,71797.0500,20210119,0.00,AA,AA
0,123089,300040,5.570,1.500,50000.0000,3.90,7.24,20210625,115.0000,20261221,123089,30604.1700,20210108,38.79,AA-,AA-
0,123090,300298,34.810,1.500,50000.0000,24.37,45.25,20210625,112.0000,20261221,123090,49842.2500,20210112,0.32,AA,AA
0,123091,300196,15.790,1.500,55000.0000,11.05,20.53,20210629,111.0000,20261223,123091,54974.6900,20210115,0.05,AA,AA
0,123092,300332,5.060,1.800,42300.0000,3.54,6.58,20210630,115.0000,20261224,123092,39946.8300,20210115,5.56,A+,A+
0,127028,000411,9.980,1.500,60000.0000,6.99,12.97,20210712,108.0000,20270105,127028,40626.7900,20210310,32.29,AA+,AA+
0,128143,002931,12.630,1.800,24500.0000,8.84,16.42,20210714,115.0000,20270108,128143,17323.2400,20210129,29.29,A+,A+
0,123093,300651,48.970,3.000,25000.0000,34.28,63.66,20210726,120.0000,20270119,123093,24989.4100,20210218,0.04,A+,A+
0,123096,300078,4.500,1.000,81700.0000,3.15,5.85,20210802,118.0000,20270126,123096,65939.2000,20210301,19.29,BBB-,BBB-
0,123100,300543,11.540,1.000,38000.0000,8.08,15.00,20210823,112.0000,20270209,123100,37971.1000,20210316,0.08,AA-,AA-
0,123099,300630,19.760,1.000,85000.0000,13.83,25.69,20210823,118.0000,20270209,123099,53113.4900,20210308,37.51,AA-,AA-
0,128144,002734,10.950,0.800,98000.0000,7.67,14.24,20210906,110.0000,20270301,128144,97937.7800,20210324,0.06,AA,AA
0,123101,300607,26.160,1.000,67000.0000,18.31,34.01,20210916,110.0000,20270310,123101,66974.9700,20210329,0.04,AA,AA
0,123103,300767,47.390,1.200,28500.0000,33.17,61.61,20210922,115.0000,20270312,123103,24938.8200,20210331,12.50,A+,A+
0,123104,300253,17.710,1.000,97027.0000,12.40,23.02,20210922,120.0000,20270316,123104,96996.0500,20210331,0.03,AA,AA
0,127030,000301,13.310,0.600,500000.0000,9.32,17.30,20210927,108.0000,20270322,127030,499767.2500,20210421,0.05,AA+,AA+
0,123106,300641,7.400,1.000,32000.0000,5.18,9.62,20210930,120.0000,20270324,123106,31996.3600,20210420,0.01,AA-,AA-
0,127031,000902,17.690,1.000,100000.0000,12.38,23.00,20211008,112.0000,20270325,127031,99993.6900,20210423,0.01,AA,AA
0,123107,300498,17.040,1.000,929700.0000,11.93,22.15,20211008,108.0000,20270329,123107,773859.6700,20210421,16.76,AAA,AAA
0,123108,300003,28.390,1.000,163800.0000,19.87,36.91,20211008,107.8000,20260330,123108,163770.0500,20210419,0.02,AA+,AA+
0,123112,300112,8.460,1.000,24572.0000,5.92,11.00,20211014,118.0000,20270408,123112,22652.8900,20210423,7.81,AA-,AA-
0,127032,002966,6.780,1.000,500000.0000,,8.81,20211018,110.0000,20270412,127032,499947.1500,20210512,0.01,AAA,AAA
0,127033,002822,5.140,1.000,116000.0000,3.60,6.68,20211022,112.0000,20270416,127033,115913.3400,20210524,0.07,AA-,AA-
0,123109,300151,26.900,1.000,46000.0000,18.83,34.97,20211008,115.0000,20270401,123109,45954.4800,20210419,0.05,AA-,AA-
0,123113,300791,55.820,1.000,102489.0000,39.07,72.57,20211025,113.0000,20270419,123113,102483.1400,20210514,0.01,AA-,AA-
0,127034,002887,12.040,1.000,71200.0000,8.43,15.65,20211111,113.0000,20270430,127034,71175.4700,20210528,0.03,AA-,AA-
1,111000,605222,19.750,1.000,100000.0000,13.83,25.68,20211129,115.0000,20270524,,99926.0400,20210617,0.07,AA-,AA-
0,127035,002225,4.320,1.500,62639.0000,3.02,5.62,20211201,108.8000,20260526,127035,62616.4900,20210618,0.04,AA,AA
0,123114,300775,31.720,1.000,90437.0000,22.20,41.24,20211130,115.0000,20270525,123114,90047.1100,20210611,0.43,AA-,AA-
0,123117,300529,40.000,1.000,100000.0000,28.00,52.00,20211229,110.0000,20270623,123117,99984.5500,20210712,0.02,AA,AA
0,127039,000582,8.000,1.000,300000.0000,5.60,10.40,20220105,108.0000,20270629,127039,176305.1300,20210723,41.23,AAA,AAA
0,123118,300779,15.930,1.200,32000.0000,11.15,20.71,20220113,115.0000,20270707,123118,15370.7400,20210726,51.97,A+,A+
0,127040,002091,8.520,0.600,455742.0000,5.96,11.08,20220113,108.0000,20270707,127040,398717.1000,20210810,12.51,AA+,AA+
0,128121,002930,19.080,1.500,67000.0000,13.36,24.80,20210125,108.0000,20260717,128121,66976.7100,20200807,0.03,AA-,AA-
0,123119,300601,33.480,1.000,200000.0000,23.44,43.52,20220121,112.0000,20270715,123119,199923.9600,20210805,0.04,AA,AA
0,127038,002049,98.180,0.600,150000.0000,68.73,127.63,20211217,110.0000,20270610,127038,149243.9300,20210714,0.50,AA+,AA+
0,123115,300623,28.780,1.000,119500.0000,20.15,37.41,20211215,113.0000,20270608,123115,119437.8800,20210629,0.05,AA-,AA-
0,127037,002126,10.610,1.000,70000.0000,7.43,13.79,20211213,110.0000,20270607,127037,69940.4000,20210709,0.09,AA,AA
0,123120,300263,7.720,1.000,79893.0000,5.40,10.04,20220207,115.0000,20270730,123120,79809.0500,20210823,0.11,AA-,AA-
0,127041,002833,25.840,1.000,60000.0000,18.09,33.59,20220117,115.0000,20260712,127041,59994.0000,20210810,0.01,AA-,AA-
0,128129,002958,4.220,1.200,500000.0000,,5.49,20210301,108.0000,20260825,128129,499970.4500,20200918,0.01,AAA,AAA
0,123126,300243,16.910,1.800,34000.0000,11.84,21.98,20220316,120.0000,20270910,123126,33996.1600,20211018,0.01,A+,A+
0,128132,002941,13.150,1.500,85000.0000,9.21,17.10,20210322,110.0000,20260915,128132,84850.2700,20201016,0.18,AA,AA
0,127046,002568,46.950,1.000,112800.0000,32.87,61.04,20220412,110.0000,20270929,127046,112755.9000,20211103,0.04,AA,AA
0,123121,300776,74.380,1.000,84000.0000,22.31,96.69,20220211,115.0000,20270805,123121,83054.1500,20210827,1.13,AA-,AA-
0,127045,002714,46.550,0.800,955000.0000,32.59,60.52,20220221,107.0000,20270816,127045,954355.4900,20210910,0.07,AA+,AA+
0,127043,002895,19.710,1.000,116000.0000,13.80,25.62,20220218,115.0000,20270812,127043,104413.8000,20210923,9.99,AA-,AA-
